ID,FAMILY,SEX,LSB,LSW,COHORT,area1,area6,area2,area3,area4,area5,area7,A1,A2,A3,A4,A5
492,11,F,8,8,1,0.5116681376,1.1014743949,5.48252766159096,5.50438588814635,12.0376042136328,10.1283803082083,1.0251884872244,1,1,0,-1,1
493,11,F,8,8,1,0.5132537783,1.080092107,4.66399933799096,4.24745951964635,11.4712375762328,9.9514571628083,1.0038061993244,-1,0,0,-1,1
494,14,F,7,8,1,0.5122849296,1.085277292,5.79523058060904,4.88928907065365,11.9184931955672,10.1617223382917,1.1615631996756,-1,0,0,1,-1
495,14,M,7,8,1,0.5644746659,1.0796692757,5.57699348010904,5.54855677105365,12.2853933059672,10.3948081722917,1.1559551833756,-1,0,0,1,0
496,11,F,8,8,1,0.5346098512,0.9272427498,4.66370006039096,4.66785474424635,11.7098845744328,9.6331143175083,0.850956842124397,1,1,0,-1,1
497,14,M,7,8,1,0.6516512087,1.1680302445,6.51944578690904,5.75315773415365,12.8278162923672,11.3144767299917,1.2443161521756,0,-1,1,1,0
498,14,M,7,8,1,0.4806663923,1.1425775126,6.17396568430904,5.53055452505365,12.4585754275672,10.6705451662917,1.2188634202756,1,0,-1,1,-1
499,11,F,8,8,1,0.6422658529,0.7129404812,4.89188326579096,4.29422048904635,11.2582820855328,9.8700602039083,0.636654573524397,0,0,0,-1,1
500,11,F,8,7,1,0.5532479244,1.0165881683,5.3346075222,5.2631648351,12.3524234879,10.4107626129,1.0165881683,-1,1,1,0,0
501,11,M,8,7,1,0.5842736071,1.1266997143,6.03219193610904,5.33417652875365,12.1267463288672,10.9695449135917,1.2029856219756,0,-1,1,1,0
502,11,M,8,7,1,0.5952790727,0.974126177,5.04629826759096,4.91780997684636,11.0216000376328,9.6558044748083,0.897840269324397,0,-1,1,-1,1
503,14,F,7,7,1,0.5123674839,1.0092745706,5.65555147400904,5.21105478605365,11.7446608848672,9.9801950728917,1.0855604782756,-1,0,-1,1,-1
504,14,M,7,7,1,0.4659091562,0.9536585183,5.16562160070904,5.13346662095365,11.2873114436672,9.5205650422917,1.0299444259756,0,1,1,1,0
505,14,F,7,7,1,0.4769997091,0.9303925878,5.01862136110904,4.98424575395365,11.5839925327672,9.1700056079917,1.0066784954756,1,0,-1,1,0
506,11,F,8,7,1,0.6051258363,0.9481153211,4.99127126219096,4.65287614274635,11.6055112406328,10.1157387833083,0.871829413424397,-1,-1,0,-1,0
507,24,F,7,7,1,0.4851216951,0.89441853,5.10891147519096,4.23911665694635,11.2813592059328,9.2104702774083,0.818132622324397,0,0,0,-1,1
508,12,F,11,7,1,0.596757254,0.8757790834,4.96092162920904,4.94209859095365,11.7463683470672,9.9096185874917,0.952064991075603,1,0,-1,1,-1
509,12,M,11,7,1,0.4478635439,1.0868280026,5.5167901043,5.6247146039,12.0913019833,10.3241828912,1.0868280026,1,1,0,0,0
510,24,F,7,7,1,0.5826489625,1.0820775275,4.49139695989096,5.55846084074635,12.3475315146328,10.6269342591083,1.0057916198244,-1,0,0,-1,1
511,24,F,7,7,1,0.5481360571,0.7956152119,4.1433552703,3.9763704501,10.690127845,8.9716338666,0.7956152119,-1,0,1,0,1
512,12,M,11,7,1,0.5226399583,1.0490700512,5.1298700639,4.8632028014,11.9069271365,9.7338911769,1.0490700512,0,1,1,0,0
513,24,F,7,7,1,0.6684973989,1.0589153339,4.8565967756,4.7731366689,11.2630580079,9.4508569385,1.0589153339,0,0,0,0,1
514,12,F,11,11,1,0.5343178957,1.0848303546,5.5921160557,4.7002036002,11.2263110719,9.5413636696,1.0848303546,0,0,0,0,0
515,24,F,7,11,1,0.4356572307,0.9521727726,4.3244326554,5.1237535146,11.4067053356,9.7972011279,0.9521727726,0,0,1,0,1
516,24,F,7,11,1,0.4712823016,0.7244434713,4.41303818939096,3.81347391844635,9.09809873753281,8.3107236953083,0.648157563624397,0,1,1,-1,1
517,24,M,7,11,1,0.3293059672,0.8407668016,4.03793437339096,3.78411825474635,9.80595755033281,9.0839437779083,0.764480893924397,-1,0,0,-1,1
518,12,F,11,11,1,0.580376289,0.9163812276,4.7519850266,4.5137388785,10.1149192244,9.3415408563,0.9163812276,0,0,1,0,1
519,24,M,7,11,1,0.4503484766,1.0398486604,5.91201324279096,4.62565413034635,10.7660167173328,10.1386047221083,0.963562752724397,-1,0,1,-1,1
520,12,M,11,11,1,0.4580069695,1.0264445175,5.77519496290904,4.47086070935365,10.1272418381672,9.4878005346917,1.1027304251756,1,0,-1,1,-1
521,12,F,11,11,1,0.5014226191,0.8762174335,4.55790556000904,4.78626204985365,10.6735400380672,9.5413995812917,0.952503341175603,1,-1,-1,1,0
522,12,F,11,11,1,0.5307205411,0.7854584776,4.79295116500904,4.81464173755365,11.1994861104672,9.7660286610917,0.861744385275603,0,-1,0,1,0
523,12,F,11,11,1,0.5500810567,0.9968513712,5.41453119810904,5.40248059275365,12.4031874735672,10.7389163032917,1.0731372788756,0,0,0,1,0
525,58,M,5,10,1,0.4659600632,1.0184012641,5.88649704069096,5.24617639744635,11.1098268453328,9.8559277760083,0.942115356424397,0,1,1,-1,0
526,52,M,10,10,1,0.5854892225,0.9591102263,5.7177457493,4.8766992907,11.2696483948,9.6011735215,0.9591102263,0,-1,1,0,0
528,52,F,10,10,1,0.5599365372,0.9244864111,4.8033768917,4.55931287,11.5109971643,9.718193895,0.9244864111,1,1,1,0,0
530,58,M,5,10,1,0.5768854819,1.1344367451,6.61472274829096,5.30564609974635,12.2545188826328,9.9389392627083,1.0581508374244,0,1,1,-1,0
532,58,M,5,10,1,0.6112501041,1.0048023668,5.52214967989096,5.26276105394635,11.2373751847328,10.1086894101083,0.928516459124397,0,1,1,-1,-1
533,52,M,10,10,1,0.5644397493,0.8779188166,5.6794999651,5.2156860748,11.4564941338,10.087521297,0.8779188166,-1,0,0,0,0
534,52,M,10,10,1,0.5893885592,0.9330328846,5.31225218040904,4.52432864965365,10.7226480235672,9.5813190354917,1.0093187922756,0,0,1,1,-1
535,58,F,5,5,1,0.6124288334,1.0169217388,5.2351593039,4.8926364778,12.0941148472,10.361073434,1.0169217388,0,1,1,0,-1
536,52,F,10,5,1,0.5883114219,0.9709281671,5.9597960226,5.0249892692,12.097336705,10.0510597308,0.9709281671,0,0,1,0,0
538,52,F,10,5,1,0.5816736009,1.0704544259,5.6846499624,5.8400961361,12.5952429234,10.7820978288,1.0704544259,0,1,1,0,0
539,58,M,5,5,1,0.567948073,0.9413067185,5.2514706178,5.2240459298,12.6356039348,10.291382748,0.9413067185,0,1,1,0,-1
540,18,M,10,10,1,0.7170310561,0.927570646,4.3919333572,4.6621753209,10.1885220399,9.4401828723,0.927570646,1,-1,0,0,-1
541,18,M,10,10,1,0.5055746887,0.8637963589,5.1303226114,4.8379697445,10.67645291,9.10589095,0.8637963589,0,1,-1,0,-1
542,18,F,10,10,1,0.6294430571,0.823363343,4.65941663409096,4.91407783884635,10.4161534636328,8.5336657902083,0.747077435324397,1,0,-1,-1,-1
543,18,M,10,10,1,0.7069109908,0.9382150941,5.82986530099096,5.17637023634635,10.9496562495328,9.5232700595083,0.861929186424397,0,0,-1,-1,0
544,18,F,10,10,1,0.6289751402,0.9383437464,5.4071169778,5.1915601334,11.2869235015,10.4047498424,0.9383437464,0,0,0,0,0
545,18,M,10,10,1,0.5401216794,0.8417756618,5.5981199177,5.4088072632,10.6793582559,8.4434511208,0.8417756618,1,0,-1,0,-1
546,18,F,10,10,1,0.4346793046,1.030897849,4.11742324719096,4.83587021894635,10.4161388190328,9.5529164061083,0.954611941324397,1,0,-1,-1,0
547,18,F,10,10,1,0.6126975912,0.8216374646,5.176906036,4.4441607802,10.1274000101,8.4018770953,0.8216374646,0,0,-1,0,0
548,18,F,10,10,1,0.5035580944,0.7696040612,4.65974802529096,4.22490487854635,9.89730887033281,8.5443075325083,0.693318153524397,1,0,0,-1,0
549,18,M,10,10,1,0.4425335174,0.9012919428,5.3870062276,4.5236808945,9.8571440027,8.8111010431,0.9012919428,1,0,0,0,-1
550,38,M,9,10,1,0.6997900276,0.9585396371,7.11238843530904,5.46589009565364,11.3746956242672,10.0865779441917,1.0348255447756,0,0,0,1,-1
551,38,F,9,10,1,0.5219512553,0.7346924307,5.0989610469,4.3752720559,10.7372443941,8.9160512975,0.7346924307,0,-1,0,0,-1
553,38,F,9,10,1,0.5490280405,1.0007768909,5.4759381039,4.7967103859,10.8786078722,9.392930562,1.0007768909,0,0,0,0,0
554,38,F,9,10,1,0.6492130896,1.0647567216,5.97121668180904,6.51162363205365,13.2290138468672,10.4627464458917,1.1410426292756,0,-1,0,1,-1
555,3,F,10,10,1,0.7905027395,0.9916224148,4.50487465999096,4.11857182024635,11.1101919437328,9.1949040120083,0.915336507124397,0,0,-1,-1,0
